0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Bread,,,Toothpaste,Banana,,,Cheese,Meat,Carrot,,Onion,,Butter,,Salt,,HeavyCream,,,Shampoo,
,,,,,Apple,,Cheese,,,Cucumber,Onion,,,,Salt,,,Egg,,,
Bread,Honey,,,,Apple,,Cheese,,,Cucumber,,,Butter,,Salt,Floar,,Egg,,,
Bread,,,Toothpaste,Banana,Apple,,,Meat,Carrot,,Onion,Milk,Butter,ShavingFoam,,,HeavyCream,Egg,Olive,,Sugar
,Honey,,,,Apple,,Cheese,,Carrot,Cucumber,Onion,Milk,,,,Floar,,Egg,,Shampoo,
,,,,Banana,,,Cheese,Meat,Carrot,Cucumber,,,,ShavingFoam,,,,,Olive,,
Bread,Honey,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,,Cucumber,Onion,Milk,,ShavingFoam,Salt,,HeavyCream,Egg,,,Sugar
,,Bacon,,,,,,,,Cucumber,,,,,,,,,,Shampoo,
,,Bacon,,Banana,Apple,Hazelnut,Cheese,,,,Onion,Milk,Butter,,Salt,,HeavyCream,,Olive,Shampoo,Sugar
Bread,Honey,Bacon,,Banana,,,Cheese,Meat,,,,,,ShavingFoam,,Floar,HeavyCream,,,,
Bread,Honey,,Toothpaste,,,Hazelnut,Cheese,Meat,,,,,Butter,ShavingFoam,,Floar,,,,,Sugar
,Honey,,,,,,Cheese,,Carrot,Cucumber,Onion,,,,,,,,,Shampoo,
Bread,Honey,Bacon,,Banana,,Hazelnut,Cheese,,,Cucumber,,Milk,,,,,HeavyCream,Egg,Olive,,Sugar
,,Bacon,Toothpaste,Banana,Apple,Hazelnut,Cheese,Meat,Carrot,Cucumber,,,Butter,ShavingFoam,,,HeavyCream,Egg,,Shampoo,Sugar
Bread,,Bacon,,Banana,Apple,Hazelnut,Cheese,,,,Onion,Milk,Butter,ShavingFoam,,,HeavyCream,Egg,,Shampoo,
,,,,,,Hazelnut,Cheese,Meat,,Cucumber,Onion,Milk,,ShavingFoam,Salt,Floar,HeavyCream,,,Shampoo,Sugar
,Honey,,Toothpaste,Banana,Apple,,,Meat,,Cucumber,,,Butter,,,Floar,,Egg,Olive,,
,,,,,Apple,Hazelnut,Cheese,,Carrot,Cucumber,Onion,Milk,,ShavingFoam,,,HeavyCream,Egg,Olive,Shampoo,
Bread,Honey,,,Banana,Apple,Hazelnut,,Meat,Carrot,Cucumber,,Milk,,ShavingFoam,Salt,,HeavyCream,,Olive,Shampoo,
Bread,,,Toothpaste,Banana,Apple,,Cheese,,Carrot,,Onion,Milk,,ShavingFoam,,,HeavyCream,Egg,Olive,Shampoo,
,Honey,,,,Apple,,,Meat,,,,,Butter,ShavingFoam,,,,,Olive,Shampoo,Sugar
,Honey,Bacon,Toothpaste,,,Hazelnut,Cheese,Meat,,Cucumber,,,Butter,ShavingFoam,,Floar,,Egg,,,
,,Bacon,Toothpaste,,Apple,Hazelnut,Cheese,,,,,,Butter,,,Floar,HeavyCream,Egg,Olive,,Sugar
,,,,,,Hazelnut,,,,Cucumber,,Milk,,,Salt,,,,Olive,Shampoo,
,,,,,,Hazelnut,,,Carrot,,,Milk,,,,,HeavyCream,,,,
,,Bacon,,,,,,,,,,,,,,,,,,,
,Honey,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,Meat,Carrot,Cucumber,Onion,Milk,,,,,HeavyCream,,Olive,,Sugar
,Honey,Bacon,,Banana,,Hazelnut,Cheese,Meat,Carrot,Cucumber,Onion,,,ShavingFoam,Salt,,,Egg,,Shampoo,
,Honey,Bacon,Toothpaste,Banana,Apple,,Cheese,,Carrot,Cucumber,,,Butter,ShavingFoam,,Floar,,,Olive,,Sugar
Bread,,,,,,Hazelnut,,,Carrot,Cucumber,,Milk,,,,Floar,,,Olive,Shampoo,
Bread,,,,,Apple,,Cheese,,,,,Milk,,,Salt,Floar,HeavyCream,,,,
,,,,,,,,,Carrot,,,,,,,Floar,,,,,
Bread,Honey,,,Banana,,,,,Carrot,,,,Butter,,,,,,,,
,,,,Banana,Apple,,,,,,,,Butter,ShavingFoam,,Floar,HeavyCream,,,,
Bread,,,Toothpaste,Banana,Apple,Hazelnut,,,Carrot,,,,,ShavingFoam,,,HeavyCream,,,,Sugar
,Honey,,,,,,,Meat,Carrot,,,,,,,Floar,HeavyCream,,,,
,Honey,Bacon,,Banana,,,Cheese,,,,,Milk,Butter,ShavingFoam,,,HeavyCream,Egg,Olive,Shampoo,
Bread,Honey,,Toothpaste,Banana,Apple,,,,Carrot,Cucumber,Onion,Milk,Butter,,,,HeavyCream,,Olive,Shampoo,Sugar
,,Bacon,,Banana,,,,,,,,,,,,Floar,,,,,
Bread,Honey,,,Banana,,,Cheese,,,,,,,ShavingFoam,Salt,,HeavyCream,,Olive,Shampoo,Sugar
,,,,,,,Cheese,,,Cucumber,,,Butter,,,,,,,,Sugar
,Honey,Bacon,Toothpaste,,,Hazelnut,Cheese,Meat,,Cucumber,,,Butter,,Salt,,HeavyCream,Egg,Olive,Shampoo,Sugar
,Honey,Bacon,,,,Hazelnut,Cheese,,Carrot,,,Milk,,,,Floar,,,Olive,Shampoo,Sugar
,,,Toothpaste,,,,,Meat,,,Onion,Milk,Butter,,Salt,,HeavyCream,,,Shampoo,Sugar
Bread,,,,,,,,,,,Onion,Milk,,ShavingFoam,,,,,,,
Bread,,Bacon,,,,,Cheese,,,,,,Butter,,Salt,Floar,,,,,
,Honey,,Toothpaste,Banana,Apple,Hazelnut,,,Carrot,Cucumber,Onion,Milk,,,,Floar,HeavyCream,Egg,,,Sugar
Bread,Honey,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,Onion,,Butter,ShavingFoam,Salt,,HeavyCream,,Olive,Shampoo,
Bread,,,,,Apple,Hazelnut,,Meat,,Cucumber,,,,,,Floar,,,Olive,Shampoo,
,,,,Banana,Apple,,,Meat,Carrot,,Onion,Milk,,ShavingFoam,,,,,Olive,,Sugar
,Honey,Bacon,Toothpaste,Banana,,,Cheese,Meat,,,Onion,,Butter,,,,,Egg,Olive,,
Bread,Honey,Bacon,Toothpaste,Banana,Apple,,Cheese,,Carrot,Cucumber,Onion,Milk,Butter,ShavingFoam,,Floar,,Egg,,,Sugar
Bread,,,,,Apple,,,,,,,,,,Salt,Floar,HeavyCream,,,,
,Honey,,,,Apple,,,,,,,,,,,,HeavyCream,Egg,,,
Bread,,Bacon,,Banana,,,Cheese,,,,,Milk,Butter,,,,,Egg,,Shampoo,
,Honey,Bacon,Toothpaste,Banana,Apple,,,Meat,,,Onion,Milk,,,,,HeavyCream,,Olive,,Sugar
,,Bacon,,,,,,,,,,,Butter,,,,,,,,
Bread,Honey,Bacon,,Banana,Apple,,Cheese,Meat,Carrot,,Onion,Milk,,ShavingFoam,,,,Egg,,Shampoo,
Bread,,,,,Apple,,,,Carrot,Cucumber,Onion,,,,,,,Egg,Olive,Shampoo,Sugar
,Honey,,,,Apple,,Cheese,Meat,,,Onion,Milk,,,,Floar,HeavyCream,,,Shampoo,Sugar
,,Bacon,Toothpaste,Banana,,Hazelnut,,,,Cucumber,Onion,Milk,,ShavingFoam,,Floar,HeavyCream,,,,
,,Bacon,,,Apple,,Cheese,Meat,,Cucumber,,Milk,,ShavingFoam,,,HeavyCream,,,,
Bread,,,Toothpaste,,,,Cheese,,Carrot,,,,,,,Floar,,,,,
Bread,,Bacon,Toothpaste,Banana,Apple,,Cheese,,,,Onion,Milk,Butter,ShavingFoam,,Floar,HeavyCream,,,,Sugar
,Honey,Bacon,,,,,Cheese,,,,,,,,,,,,,Shampoo,
Bread,,,,,,,,,,,,Milk,Butter,,Salt,,,,,,
,,,Toothpaste,,,,,,Carrot,,Onion,Milk,Butter,ShavingFoam,Salt,,HeavyCream,,,,
Bread,Honey,,,Banana,Apple,Hazelnut,,Meat,Carrot,Cucumber,,,,,,Floar,HeavyCream,Egg,Olive,Shampoo,Sugar
,Honey,Bacon,,,,,,,,,,Milk,,,,,,Egg,,,
Bread,,,,Banana,,,Cheese,,Carrot,,,,,,,,,Egg,,Shampoo,
Bread,Honey,Bacon,,Banana,Apple,,Cheese,Meat,,Cucumber,,,,ShavingFoam,Salt,,,,Olive,Shampoo,Sugar
,Honey,,,Banana,,,,Meat,,Cucumber,Onion,Milk,,ShavingFoam,Salt,Floar,HeavyCream,Egg,Olive,Shampoo,
Bread,Honey,,Toothpaste,,,,,,Carrot,Cucumber,,,,,Salt,Floar,,,,,
Bread,,Bacon,,,,Hazelnut,Cheese,,,,,,,,,Floar,,Egg,Olive,,
Bread,,,Toothpaste,Banana,Apple,Hazelnut,,,,,Onion,,Butter,,Salt,Floar,HeavyCream,,,,Sugar
,,Bacon,,Banana,,Hazelnut,Cheese,,Carrot,Cucumber,,Milk,Butter,,Salt,,HeavyCream,Egg,Olive,,
,Honey,Bacon,Toothpaste,Banana,,,,Meat,,,Onion,,,ShavingFoam,Salt,Floar,HeavyCream,,,Shampoo,
,Honey,Bacon,Toothpaste,Banana,,,,,Carrot,Cucumber,Onion,Milk,Butter,,,Floar,HeavyCream,,Olive,,
,,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,,Milk,Butter,,,Floar,,Egg,,,
Bread,,Bacon,,Banana,Apple,,,,,Cucumber,Onion,Milk,Butter,ShavingFoam,Salt,Floar,HeavyCream,,Olive,Shampoo,
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,,Meat,,,Onion,Milk,Butter,,,Floar,,,Olive,Shampoo,
,,,Toothpaste,Banana,Apple,,,,Carrot,,,Milk,,,,,,Egg,,Shampoo,
,Honey,Bacon,,,Apple,,,Meat,Carrot,Cucumber,Onion,,,,,,,Egg,Olive,,
,Honey,,,,,,,,,Cucumber,,,,,,Floar,,Egg,,,Sugar
Bread,,Bacon,Toothpaste,,Apple,Hazelnut,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,Salt,Floar,HeavyCream,,Olive,,Sugar
,,,Toothpaste,Banana,,Hazelnut,,,,,Onion,,,ShavingFoam,,Floar,,,Olive,Shampoo,
,,,,Banana,Apple,Hazelnut,,,,Cucumber,Onion,Milk,Butter,,,Floar,,,Olive,,
Bread,Honey,Bacon,,Banana,,Hazelnut,Cheese,,,,,Milk,Butter,,,Floar,,Egg,,Shampoo,Sugar
,,Bacon,,,Apple,,Cheese,Meat,Carrot,Cucumber,,Milk,,,Salt,Floar,,Egg,,Shampoo,Sugar
Bread,,,Toothpaste,,Apple,Hazelnut,,Meat,Carrot,,Onion,Milk,Butter,,Salt,,HeavyCream,Egg,Olive,Shampoo,Sugar
,Honey,,,Banana,,Hazelnut,,Meat,,,,,,,,,HeavyCream,,Olive,,
,,,Toothpaste,,,Hazelnut,,,,Cucumber,,,,,Salt,,HeavyCream,,Olive,,
Bread,Honey,,Toothpaste,Banana,,,Cheese,,,Cucumber,,Milk,,ShavingFoam,,Floar,,Egg,Olive,,Sugar
,Honey,,,,Apple,Hazelnut,Cheese,Meat,,,Onion,Milk,Butter,,,Floar,HeavyCream,Egg,Olive,,
,,,,,,,,,,,,,,ShavingFoam,,,,,,,
,,,,Banana,,Hazelnut,,,,,,Milk,,,Salt,,HeavyCream,,,,
,,,,,,,Cheese,,,,,,,,,,,,,,Sugar
Bread,Honey,,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,Onion,Milk,Butter,,Salt,Floar,,Egg,,,
,,,,,,,,,,,,,,,,,,,Olive,,
,Honey,Bacon,,,,,,,Carrot,,,,,ShavingFoam,,,HeavyCream,,Olive,Shampoo,
,,,,,,Hazelnut,Cheese,Meat,,,Onion,,,,,,,,,,
,,Bacon,,,,Hazelnut,,,,,,,,,Salt,Floar,,,,,
,,Bacon,,,,,,,,,,,,ShavingFoam,,,,,,,Sugar
Bread,,Bacon,,Banana,,,Cheese,,,Cucumber,Onion,,Butter,ShavingFoam,Salt,,,,Olive,,Sugar
,,,,,,,,,,Cucumber,Onion,Milk,,ShavingFoam,,,HeavyCream,,,,
,,,,,,,,,,,,,,,,Floar,,,,,
Bread,,,,Banana,,,,Meat,Carrot,Cucumber,,,,ShavingFoam,Salt,,HeavyCream,,Olive,,
Bread,Honey,Bacon,,Banana,,,,Meat,Carrot,Cucumber,Onion,,,ShavingFoam,Salt,,,Egg,Olive,Shampoo,Sugar
Bread,,,,,,,,,,Cucumber,Onion,,,,Salt,,HeavyCream,Egg,Olive,,Sugar
Bread,,,,Banana,,Hazelnut,Cheese,,,,,,,,Salt,Floar,,Egg,Olive,Shampoo,Sugar
Bread,,,,Banana,,,,Meat,,,,,,,,,,,,Shampoo,Sugar
,Honey,,Toothpaste,,Apple,,Cheese,,,,Onion,,,ShavingFoam,,,HeavyCream,,,,Sugar
,Honey,Bacon,Toothpaste,Banana,,Hazelnut,,Meat,,,,Milk,,,,,,,,,Sugar
,Honey,Bacon,Toothpaste,Banana,Apple,,,,,,Onion,Milk,,ShavingFoam,Salt,,HeavyCream,,Olive,,
,,,Toothpaste,Banana,,,Cheese,,Carrot,Cucumber,Onion,,,ShavingFoam,Salt,,,,Olive,Shampoo,Sugar
Bread,Honey,Bacon,,Banana,Apple,Hazelnut,Cheese,Meat,Carrot,,Onion,,,ShavingFoam,,Floar,HeavyCream,,Olive,,Sugar
,,Bacon,,,Apple,Hazelnut,,,Carrot,,Onion,,,,,,,,,,
Bread,Honey,Bacon,,,,Hazelnut,Cheese,,Carrot,Cucumber,,,Butter,ShavingFoam,,Floar,,Egg,Olive,,
,Honey,Bacon,Toothpaste,Banana,Apple,Hazelnut,,Meat,,Cucumber,Onion,Milk,,ShavingFoam,,,,Egg,Olive,,Sugar
Bread,,,,,,,Cheese,Meat,,,,,,,,,,,Olive,,
,Honey,,Toothpaste,,Apple,,,Meat,Carrot,,,Milk,,,Salt,,HeavyCream,Egg,Olive,Shampoo,
,,,,,,,,,,,,Milk,,,,,,,,,
,,Bacon,,,,Hazelnut,,,,,,,,,,Floar,,,,,Sugar
,,,Toothpaste,Banana,,,Cheese,,,Cucumber,,,,,,,,,,Shampoo,
Bread,,Bacon,,,Apple,Hazelnut,,Meat,,,,,Butter,ShavingFoam,Salt,Floar,,Egg,,,Sugar
,,Bacon,,Banana,,Hazelnut,Cheese,Meat,,,,,Butter,ShavingFoam,,,,,,,
,Honey,Bacon,Toothpaste,Banana,,Hazelnut,,,Carrot,Cucumber,Onion,Milk,,,Salt,,HeavyCream,Egg,,,Sugar
Bread,,Bacon,Toothpaste,,,Hazelnut,Cheese,Meat,Carrot,Cucumber,Onion,,Butter,,Salt,,HeavyCream,,,Shampoo,
Bread,Honey,Bacon,,,,Hazelnut,,,,Cucumber,Onion,,Butter,ShavingFoam,,,HeavyCream,Egg,,,
,,,Toothpaste,,,,Cheese,Meat,,,,,,,,Floar,,Egg,,,
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,,Cucumber,,Milk,Butter,ShavingFoam,,Floar,,Egg,Olive,Shampoo,Sugar
,,,,,,Hazelnut,,,Carrot,,,,,,,Floar,,Egg,,,Sugar
,Honey,Bacon,,,Apple,,,Meat,,,,,,,,,,,Olive,,
Bread,Honey,,Toothpaste,Banana,Apple,,Cheese,,Carrot,Cucumber,Onion,Milk,Butter,,,Floar,HeavyCream,,,,
Bread,Honey,Bacon,,Banana,Apple,Hazelnut,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,,,,Egg,,,Sugar
,,,,,,,,,,Cucumber,,,,,,,,,,,
,Honey,Bacon,Toothpaste,Banana,Apple,,Cheese,,,,Onion,Milk,,,,,,Egg,Olive,Shampoo,
,Honey,Bacon,,Banana,Apple,Hazelnut,,,,Cucumber,,,Butter,,,,HeavyCream,,Olive,,Sugar
Bread,,Bacon,,Banana,Apple,,,,Carrot,,,,,ShavingFoam,Salt,,,Egg,,,
Bread,Honey,Bacon,,,Apple,,,,,,,Milk,Butter,,Salt,,HeavyCream,Egg,Olive,Shampoo,Sugar
,,,,Banana,,,,,,,Onion,,,,,,,,,,
,,,,,,,Cheese,,,,,Milk,,,,Floar,HeavyCream,,,Shampoo,
Bread,Honey,,Toothpaste,Banana,Apple,,Cheese,,,,,Milk,,,Salt,Floar,HeavyCream,Egg,,,Sugar
Bread,,Bacon,,Banana,Apple,Hazelnut,,,,,Onion,,,,,Floar,HeavyCream,,,,
,Honey,,,,,Hazelnut,,,,,,,Butter,,,,HeavyCream,Egg,,Shampoo,
Bread,Honey,,Toothpaste,,,,Cheese,,Carrot,,,,,,Salt,,,Egg,,Shampoo,Sugar
,Honey,,,Banana,,,,,,,Onion,,,ShavingFoam,,,,Egg,Olive,Shampoo,
Bread,Honey,Bacon,,,,,Cheese,Meat,Carrot,,,Milk,,,,,HeavyCream,,,,
,,,,Banana,,,,,Carrot,Cucumber,,,,,Salt,,,,Olive,,
,,,,,,Hazelnut,Cheese,,,Cucumber,Onion,,Butter,,,Floar,HeavyCream,,Olive,Shampoo,
Bread,,,Toothpaste,,Apple,,,,Carrot,Cucumber,Onion,,Butter,,Salt,,HeavyCream,Egg,Olive,,Sugar
,,,Toothpaste,,,Hazelnut,Cheese,Meat,,Cucumber,Onion,,Butter,ShavingFoam,Salt,,HeavyCream,,,,Sugar
Bread,Honey,Bacon,,,,,Cheese,Meat,Carrot,Cucumber,,,,,,,HeavyCream,,,,
,,Bacon,,,,,,,,,,,,,,,,,,,
,,Bacon,,,,Hazelnut,,,,,,,,ShavingFoam,,Floar,,,,,
,Honey,,Toothpaste,,,,Cheese,,,,,,,,Salt,,,Egg,,,
,,,,Banana,Apple,,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,,Floar,,Egg,Olive,Shampoo,Sugar
Bread,Honey,Bacon,,,,,,,,,,Milk,Butter,,Salt,,HeavyCream,,Olive,Shampoo,
Bread,Honey,Bacon,,,,Hazelnut,Cheese,,Carrot,,,,,,Salt,Floar,,Egg,,,
,,,Toothpaste,,Apple,,Cheese,,Carrot,,Onion,,Butter,,Salt,,,Egg,Olive,,Sugar
,,Bacon,Toothpaste,,,Hazelnut,,,,,Onion,Milk,Butter,ShavingFoam,,,HeavyCream,,,,Sugar
,Honey,,Toothpaste,,,Hazelnut,,Meat,Carrot,,Onion,Milk,,,Salt,Floar,HeavyCream,,Olive,,Sugar
Bread,Honey,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,Meat,Carrot,,,Milk,Butter,ShavingFoam,,,HeavyCream,,,Shampoo,Sugar
Bread,,Bacon,Toothpaste,,,,,Meat,,Cucumber,Onion,Milk,Butter,,Salt,,,Egg,,,
,,,,,Apple,,,,,Cucumber,Onion,,,,,,,,,,
,,Bacon,,,Apple,,,,Carrot,Cucumber,Onion,,,ShavingFoam,,Floar,,,,,
,Honey,Bacon,,Banana,,Hazelnut,,Meat,Carrot,Cucumber,Onion,Milk,Butter,ShavingFoam,Salt,Floar,,Egg,Olive,Shampoo,Sugar
Bread,,Bacon,,Banana,Apple,,,Meat,Carrot,,Onion,Milk,,,,,,Egg,Olive,,Sugar
Bread,,,,,Apple,,Cheese,,,,,Milk,,ShavingFoam,,Floar,,,,,
,Honey,,,Banana,,,,,,,,,,,,Floar,,Egg,,,
Bread,Honey,,,Banana,,Hazelnut,,,,Cucumber,Onion,,,ShavingFoam,Salt,Floar,,Egg,,Shampoo,
,,Bacon,Toothpaste,,Apple,Hazelnut,,,,Cucumber,Onion,,Butter,ShavingFoam,Salt,Floar,,,Olive,,Sugar
Bread,Honey,Bacon,,,Apple,Hazelnut,Cheese,Meat,Carrot,,,Milk,,,,Floar,,Egg,,Shampoo,Sugar
Bread,Honey,Bacon,Toothpaste,,Apple,Hazelnut,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,,,,Egg,,,
,,,,,,Hazelnut,,,,Cucumber,,,,,,,HeavyCream,,,,
Bread,Honey,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,,Milk,,ShavingFoam,,Floar,HeavyCream,,,,
Bread,Honey,,,,,,Cheese,,Carrot,,Onion,,Butter,,Salt,,,,,Shampoo,
Bread,Honey,,,Banana,Apple,,Cheese,,Carrot,,Onion,,,,Salt,,HeavyCream,,Olive,,
,Honey,Bacon,,,Apple,Hazelnut,,,,Cucumber,,,Butter,ShavingFoam,,,HeavyCream,Egg,,Shampoo,
,,Bacon,Toothpaste,,,,Cheese,Meat,Carrot,Cucumber,,Milk,,ShavingFoam,,,HeavyCream,Egg,,,Sugar
Bread,,,Toothpaste,,,Hazelnut,Cheese,,,,Onion,,Butter,,Salt,Floar,,Egg,Olive,,
,Honey,,,,Apple,,,,,,,,,ShavingFoam,,,,Egg,Olive,,Sugar
Bread,Honey,,,Banana,,Hazelnut,,Meat,,,,,,ShavingFoam,,Floar,,Egg,,,
Bread,Honey,,Toothpaste,,Apple,,Cheese,,Carrot,,,Milk,Butter,,Salt,Floar,HeavyCream,,,,
,,Bacon,,,,,,,Carrot,,,,,,,,,,,,
Bread,Honey,Bacon,,Banana,,Hazelnut,,,,Cucumber,,Milk,Butter,ShavingFoam,Salt,,HeavyCream,,,,Sugar
Bread,,Bacon,Toothpaste,,,Hazelnut,Cheese,,,Cucumber,,Milk,Butter,ShavingFoam,Salt,,,Egg,Olive,Shampoo,Sugar
,,,,Banana,Apple,Hazelnut,,Meat,,,,,Butter,,,Floar,,,,,
Bread,Honey,,Toothpaste,Banana,Apple,Hazelnut,Cheese,,Carrot,,,,Butter,,Salt,,,,,Shampoo,Sugar
,Honey,,,,,,,,,,,,,,,,,,,,
,,,,,Apple,,,,,,,,,,,Floar,,,,,
,,,,,Apple,,,,,,,Milk,,,,,HeavyCream,,Olive,,
,Honey,Bacon,,,Apple,Hazelnut,Cheese,Meat,Carrot,Cucumber,Onion,,Butter,,,,,Egg,,Shampoo,
